Cluster Index	Value	x	y	z	
8	4.26	26	-68	50
8	4.17	36	-60	46
8	3.94	16	-70	48
8	3.93	30	-68	32
8	3.76	28	-64	38
8	3.7	32	-62	54
7	4.01	48	-68	-14
7	3.81	44	-64	-8
7	3.78	50	-60	-4
7	3.65	52	-74	-8
7	3.63	52	-66	-6
7	3.53	48	-80	-10
6	4.55	-44	-72	-4
6	3.94	-48	-74	-12
6	3.64	-44	-66	-2
6	3.34	-36	-74	2
6	3.19	-40	-64	-12
6	3.17	-56	-64	-2
5	4.08	48	12	30
5	3.86	42	8	26
5	3.86	48	6	18
5	3.75	42	14	28
5	3.3	52	4	26
4	3.88	-24	-64	52
4	3.79	-30	-64	50
4	3.74	-22	-60	44
4	3.7	-22	-68	44
3	3.79	-4	16	46
3	3.65	4	16	48
3	3.64	4	20	46
3	3.38	4	6	56
2	4.46	-42	-88	-6
1	4.11	32	22	-6
1	3.73	38	24	-2
1	3.37	46	24	-2
